steps,values
0,2.2787668704986572
1,1.048926830291748
2,0.6464305520057678
3,0.4997124969959259
4,0.4065713584423065
5,0.36439210176467896
6,0.31888988614082336
7,0.29548290371894836
8,0.2735937833786011
9,0.25186124444007874
10,0.22494974732398987
11,0.2024601399898529
12,0.17681999504566193
13,0.146104097366333
14,0.1199844554066658
15,0.09771476686000824
16,0.06458377093076706
17,0.03808899596333504
18,0.024788927286863327
19,0.00830910075455904
20,0.002340419916436076
21,0.001294050714932382
22,0.0009332787594757974
23,0.000868478964548558
24,0.0007970196893438697
25,0.0006771986372768879
26,0.0006463756435550749
27,0.0006857776315882802
28,0.0007520198123529553
29,0.0005718216416426003
