steps,values
0,1.413116455078125
1,1.3296220302581787
2,1.2988324165344238
3,1.2773802280426025
4,1.2597728967666626
5,1.2610342502593994
6,1.2221508026123047
7,1.2133413553237915
8,1.184772253036499
9,1.1643480062484741
10,1.1507196426391602
11,1.1181365251541138
12,1.10817551612854
13,1.095866322517395
14,1.0688164234161377
15,1.023773431777954
16,0.9983243942260742
17,0.971341073513031
18,0.9607283473014832
19,0.9337418675422668
20,0.873363733291626
21,0.8266873955726624
22,0.7767845392227173
23,0.7222946882247925
24,0.6722343564033508
25,0.5822569727897644
26,0.5289469957351685
27,0.48677241802215576
28,0.45731285214424133
29,0.420247882604599
