steps,values
0,0.31952181458473206
1,0.5023361444473267
2,0.6068369746208191
3,0.6886731386184692
4,0.7553619742393494
5,0.8214295506477356
6,0.8780920505523682
7,0.9227946400642395
8,0.9524038434028625
9,0.9775763750076294
10,0.9913676977157593
11,0.9964313507080078
12,0.9983121156692505
13,0.9993248581886292
14,0.9997106194496155
15,0.9998553395271301
16,0.9999517798423767
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
