steps,values
0,2.7522199153900146
1,2.4412808418273926
2,2.1933884620666504
3,1.8923743963241577
4,1.4775930643081665
5,0.9764878153800964
6,0.5760130286216736
7,0.309826523065567
8,0.11335695534944534
9,0.02817668952047825
10,0.006456263829022646
11,0.0028973857406526804
12,0.0017323713982477784
13,0.0007969941943883896
14,0.0006269210716709495
15,0.0005289151449687779
16,0.00044133461778983474
17,0.00047310246736742556
18,0.0004199406539555639
19,0.00038099780795164406
20,0.0003163510700687766
21,0.0003517814620863646
22,0.0002997842675540596
23,0.0002828700526151806
24,0.0003059050068259239
25,0.0005697750602848828
26,0.0004661167331505567
27,0.00039203089545480907
28,0.0003018903953488916
29,0.000301540014334023
