steps,values
0,2.3894262313842773
1,1.7667561769485474
2,1.3963650465011597
3,1.159069538116455
4,0.9143714904785156
5,0.7132720351219177
6,0.5655293464660645
7,0.4245508909225464
8,0.2842169404029846
9,0.22439561784267426
10,0.1758200079202652
11,0.1225932314991951
12,0.08253232389688492
13,0.04144766181707382
14,0.026640858501195908
15,0.013008147478103638
16,0.004302376881241798
17,0.013452592305839062
18,0.0086812824010849
19,0.005897935479879379
20,0.0011697182198986411
21,0.0008437258657068014
22,0.0007130621233955026
23,0.0006259942892938852
24,0.0006276834174059331
25,0.000594194745644927
26,0.0005334792658686638
27,0.0005793178570456803
28,0.0005360490758903325
29,0.0005096558597870171
