steps,values
0,2.8378219604492188
1,2.6180334091186523
2,2.4902541637420654
3,2.378403425216675
4,2.25709867477417
5,2.109037399291992
6,1.9748759269714355
7,1.7995872497558594
8,1.5910422801971436
9,1.3378287553787231
10,1.0734797716140747
11,0.7876356840133667
12,0.49318456649780273
13,0.2685762345790863
14,0.12529778480529785
15,0.05299665406346321
16,0.01906251348555088
17,0.007405113894492388
18,0.004421665798872709
19,0.003692649770528078
20,0.0028085082303732634
21,0.002496312605217099
22,0.002310430631041527
23,0.002044516382738948
24,0.0018554390408098698
25,0.0018517710268497467
26,0.0018064648611471057
27,0.0016337248962372541
28,0.0015642427606508136
29,0.0015619565965607762
