steps,values
0,0.23295751214027405
1,0.30303308367729187
2,0.35037991404533386
3,0.392898291349411
4,0.434546560049057
5,0.48261234164237976
6,0.5236968994140625
7,0.5774121880531311
8,0.6386151909828186
9,0.7139787673950195
10,0.7885355353355408
11,0.8620200157165527
12,0.9270894527435303
13,0.9704064726829529
14,0.9909722208976746
15,0.99771648645401
16,0.9996874928474426
17,0.999965250492096
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
