steps,values
0,2.5194873809814453
1,1.9778854846954346
2,1.674944519996643
3,1.4021577835083008
4,1.1550239324569702
5,0.8939253687858582
6,0.6626978516578674
7,0.46414533257484436
8,0.3072567582130432
9,0.17952081561088562
10,0.09205202013254166
11,0.048423994332551956
12,0.028611350804567337
13,0.011762015521526337
14,0.006882742512971163
15,0.004568115342408419
16,0.0021639359183609486
17,0.0009729086887091398
18,0.0007810842362232506
19,0.0006205444224178791
20,0.0005389059078879654
21,0.0004699809360317886
22,0.0004279433633200824
23,0.0004222387506160885
24,0.00041486654663458467
25,0.0004140719829592854
26,0.0003852069494314492
27,0.00038954225601628423
28,0.00039217364974319935
29,0.0003897944698110223
