steps,values
0,2.6366987228393555
1,2.0270097255706787
2,1.5998600721359253
3,1.1223983764648438
4,0.6514294147491455
5,0.28373974561691284
6,0.10602989792823792
7,0.03034776635468006
8,0.010215929709374905
9,0.0023440206423401833
10,0.0007859051111154258
11,0.0005655635031871498
12,0.0004251086211297661
13,0.00035802615457214415
14,0.0002979066630359739
15,0.00033946539042517543
16,0.0002671040128916502
17,0.00021994535927660763
18,0.00022177524806465954
19,0.00019865525246132165
20,0.00017391926667187363
21,0.00016857043374329805
22,0.00016782470629550517
23,0.00015937330317683518
24,0.0001503940875409171
25,0.00016245219740085304
26,0.00015547018847428262
27,0.00015044740575831383
28,0.00015076414274517447
29,0.00014267679944168776
