steps,values
0,0.3288227319717407
1,0.5645973682403564
2,0.6796646118164062
3,0.7443743944168091
4,0.807355523109436
5,0.8570277094841003
6,0.8929222822189331
7,0.9238515496253967
8,0.9524022936820984
9,0.9617664217948914
10,0.9716450572013855
11,0.9819818735122681
12,0.9881802201271057
13,0.9943161010742188
14,0.9969654083251953
15,0.9990960955619812
16,0.9996771812438965
17,0.9983212947845459
18,0.9988336563110352
19,0.9996771812438965
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
