steps,values
0,2.7066237926483154
1,2.0123419761657715
2,1.4429210424423218
3,0.9207395315170288
4,0.43776094913482666
5,0.18302473425865173
6,0.04931376501917839
7,0.051692187786102295
8,0.014388005249202251
9,0.12125985324382782
10,0.005590137094259262
11,0.0010718276025727391
12,0.0007063530501909554
13,0.0008545249584130943
14,0.010903516784310341
15,0.0010374077828601003
16,0.0005153589299879968
17,0.00045093693188391626
18,0.0003707017458509654
19,0.0003291838220320642
20,0.00032778846798464656
21,0.0002799415378831327
22,0.0002572905505076051
23,0.000225888637942262
24,0.00022194422490429133
25,0.0002524395240470767
26,0.00021752425527665764
27,0.00023255568521562964
28,0.00028970540734007955
29,0.00022898276802152395
