1,7797
2,6485
3,211
4,1420
5,1327
6,1154
7,791
8,2213
9,1109
10,485
11,1603
12,4351
13,540
14,8103
15,4048
16,8
17,23
18,132
19,849
20,222
21,84
22,33
23,20
24,37
25,326
26,289
27,4
28,19
29,331
30,22
31,438
32,26
33,928
34,41
35,103
36,657
37,25
38,1021
39,27
40,147
41,79
42,128
43,262
44,397
45,33
46,197
47,347
48,5
49,16
50,7
51,222
52,174
53,62
54,42
55,555
56,90
57,338
58,403
59,437
60,617
61,931
62,5536
63,2304
64,612
65,740
66,58
67,72
68,38
69,157
70,297
71,2840
72,288
73,50
74,919
75,17
76,44
77,4
78,13
79,29
80,18
81,41
82,350
83,32
84,33
85,77
86,98
87,342
88,299
89,5
90,6
91,34
92,143
93,0
94,5
95,59
96,66
97,40
98,17
99,235
100,61
101,1
102,46
103,4
104,4
105,20
106,3
107,318
108,42
109,90
110,24
111,37
112,9
113,137
114,68
115,290
116,18
117,19
118,43
119,282
120,15
121,241
122,421
123,2433
124,29
125,61
126,20
127,585
128,138
129,1055
130,103
131,74
132,21
133,13
134,14
135,50
136,484
137,154
138,30
139,3115
140,649
141,615
142,189
143,183
144,51
145,30
146,811
147,213
148,1090
149,29
150,144
151,15
152,135
153,8
154,40
155,212
156,1319
157,41
158,15
159,98
160,995
161,240
162,105
163,137
164,1313
165,133
166,2543
167,609
168,0
169,24
170,10
171,3
172,1
173,395
174,242
175,6
176,533
177,5
178,22
179,2
180,48
181,37
182,68
183,13
184,4
185,124
186,795
187,967
188,44
189,902
190,67
191,672
192,15
193,511
194,3388
195,8
196,3
197,42
198,417
199,53
200,85
201,58
202,31
203,67
204,226
205,321
206,130
207,0
208,3
209,2
210,2
211,2
212,81
213,64
214,52
215,156
216,1582
217,218
218,101
219,22
220,211
221,3116
222,2
223,282
224,54
225,7479
226,54
227,1190
228,11
229,283
230,276
