formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
Eu2Nb5O9,123,Tetragonal,P4/mmm,4/mmm
Dy12Co5Bi,71,Orthorhombic,Immm,mmm
CsSrBr3,62,Orthorhombic,Pnma,mmm
Eu3W(ClO2)3,176,Hexagonal,P6_3/m,6/m
CuTeSCl,14,Monoclinic,P2_1/c,2/m
Dy3(SbPd2)4,225,Cubic,Fm-3m,m-3m
CuBi2Te2O,123,Tetragonal,P4/mmm,4/mmm
Dy2Si3Pd,194,Hexagonal,P6_3/mmc,6/mmm
ErAlGeO5,55,Orthorhombic,Pbam,mmm
Er5(GeSb)2,64,Orthorhombic,Cmce,mmm
CuAgGeSe3,9,Monoclinic,Cc,m
CuTeSeCl,14,Monoclinic,P2_1/c,2/m
Dy2Cu(SiO3)4,2,Triclinic,P-1,-1
Dy2(MoO4)3,113,Tetragonal,P-42_1m,-42m
Dy2(Ga3Rh)3,63,Orthorhombic,Cmcm,mmm
ErTl(MoO4)2,60,Orthorhombic,Pbcn,mmm
DyGaGe2O7,14,Monoclinic,P2_1/c,2/m
Ho5Cl11,11,Monoclinic,P2_1/m,2/m
Dy2Si3Rh,194,Hexagonal,P6_3/mmc,6/mmm
Dy12Al7Si,140,Tetragonal,I4/mcm,4/mmm
ErTa5Ag2O15,127,Tetragonal,P4/mbm,4/mmm
ErMg(BO2)5,14,Monoclinic,P2_1/c,2/m
CuTeSBr,14,Monoclinic,P2_1/c,2/m
Cu(HCl)2,53,Orthorhombic,Pmna,mmm
Dy2(Ga3Ir)3,63,Orthorhombic,Cmcm,mmm
CsK2LaV2O8,11,Monoclinic,P2_1/m,2/m
Dy3Sc2Al3O12,230,Cubic,Ia-3d,m-3m
Eu3Sn13Ir4,223,Cubic,Pm-3n,m-3m
Cu(Cl2O)2,70,Orthorhombic,Fddd,mmm
Dy(Al5Re)2,63,Orthorhombic,Cmcm,mmm
CsSm(WO4)2,15,Monoclinic,C2/c,2/m
ErCo9Si4,140,Tetragonal,I4/mcm,4/mmm
CsNd(WO4)2,15,Monoclinic,C2/c,2/m
CsLa(MoO4)2,15,Monoclinic,C2/c,2/m
Er3Ga2Ge3,63,Orthorhombic,Cmcm,mmm
Er5Re2C7,65,Orthorhombic,Cmmm,mmm
