formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
Ca(AlH4)2,14,Monoclinic,P2_1/c,2/m
Ca2HI2,123,Tetragonal,P4/mmm,4/mmm
CaAl2Si6(HO4)4,7,Monoclinic,Pc,m
CSN2,14,Monoclinic,P2_1/c,2/m
Ca2TaCrO6,14,Monoclinic,P2_1/c,2/m
Ca2PrBeO5,62,Orthorhombic,Pnma,mmm
Ce3Rh4Pb13,223,Cubic,Pm-3n,m-3m
Ca2GaSi2O7,113,Tetragonal,P-42_1m,-42m
Ca2FeAs2F,123,Tetragonal,P4/mmm,4/mmm
CoCuSe2(ClO5)2,62,Orthorhombic,Pnma,mmm
CdC4S4(N5O3)2,14,Monoclinic,P2_1/c,2/m
Ce8InPd24,221,Cubic,Pm-3m,m-3m
Ca2YBeO5,62,Orthorhombic,Pnma,mmm
CSNCl2F5,2,Triclinic,P-1,-1
Ca2NbCrO6,14,Monoclinic,P2_1/c,2/m
Ca2TmRuO6,14,Monoclinic,P2_1/c,2/m
C2SF6,14,Monoclinic,P2_1/c,2/m
Ca2LaBeO5,62,Orthorhombic,Pnma,mmm
Ca6Si2O13,147,Trigonal,P-3,-3
Ca2NbFeO6,14,Monoclinic,P2_1/c,2/m
CaCeAlFe2Si3O13,11,Monoclinic,P2_1/m,2/m
Ca(Sb3Os)4,204,Cubic,Im-3,m-3
Ca2ScNbO6,14,Monoclinic,P2_1/c,2/m
Ca10VP5(O12F)2,6,Monoclinic,Pm,m
CaAl2Si6H10O21,4,Monoclinic,P2_1,2
Ca4Ni,227,Cubic,Fd-3m,m-3m
CaAsO6,9,Monoclinic,Cc,m
Ca2Al3O8,217,Cubic,I-43m,-43m
Ca4SiP4,218,Cubic,P-43n,-43m
Ca2EuBeO5,62,Orthorhombic,Pnma,mmm
